ink_density,connected_components,mean_height,height_variation,mean_width,width_variation,baseline_drift,mean_spacing,spacing_variation,estimated_stroke_width,slant_variation,margin_alignment,overlap_ratio,label
4.993826781536279,326.0,13.98159509202454,26.299639834293494,16.006134969325153,56.61675926410903,2.8004822015397806,7.059040590405904,132.77130126032537,2.470198392868042,32.4433985149115,39.54954698434189,13.694267515923567,0
7.70935960591133,108.0,13.342592592592593,30.2582759033633,15.805555555555555,63.78499307998954,3.357020038880839,6.614583333333333,119.06749374844013,2.4610941410064697,46.63900091876332,2.516611478423583,5.88235294117647,0
3.961641279580889,236.0,16.139830508474578,39.607942671768086,11.766949152542374,36.92020246877993,3.190795790401772,10.471111111111112,117.6346769842199,2.5743117332458496,66.39743663633095,146.73668362406062,0.881057268722467,0
7.99670483370078,135.0,13.11111111111111,32.88310071305917,16.644444444444446,72.82477613896796,3.643662964808714,5.840336134453781,88.9834555410242,2.477755308151245,46.99126554182381,48.91254951441399,6.299212598425196,0
6.672367998334849,226.0,11.367256637168142,27.010501659697,10.327433628318584,52.38149229010168,2.501125653317312,6.728971962616822,103.76095380524164,2.4458582401275635,60.39796969980876,1.5634719199411433,1.3824884792626728,0
6.951801452121101,200.0,10.935,30.386519095112586,9.6,52.37418241925823,1.8586306322434736,6.492146596858639,101.13313245804845,2.4697842597961426,60.68602013582407,3.461845606031557,0.5208333333333333,0
5.520967326987393,83.0,10.903614457831326,46.27684040673065,14.626506024096386,55.07191612325446,2.6422748225577424,8.623376623376624,75.66357709213054,2.5636959075927734,42.110268851608566,125.15246257620699,0.0,0
8.190488584814457,125.0,11.848,26.88306099719072,12.832,61.20162118654457,1.567930682017596,5.5,105.14420720098934,2.4341695308685303,37.634516657846525,2.280350850198276,13.333333333333334,0
8.264477984649847,134.0,13.097014925373134,32.792651468678415,16.76865671641791,72.24827887514564,3.6336823784211254,5.889830508474576,87.96685895546116,2.4777276515960693,46.95488917998086,48.91254951441399,6.349206349206349,0
8.102286151066638,169.0,12.414201183431953,32.770610038844715,14.923076923076923,61.1558307471408,4.36179971302665,5.823529411764706,111.32209458425488,2.598125696182251,52.12667149077372,71.45355134631168,3.7735849056603774,0
8.037279743701763,168.0,13.880952380952381,30.562550900869244,11.232142857142858,72.58225753233114,4.151128214860646,7.238993710691824,110.88618115862448,2.520228862762451,64.13274056570151,1.9059520091609048,1.2422360248447204,0
10.430774251448153,161.0,14.658385093167702,27.033830045571577,18.124223602484474,53.376298129515774,2.661255074555412,5.873239436619718,89.81958357168527,2.5882515907287598,42.054759002326016,2.586765939293959,6.578947368421052,0
8.557706571725264,100.0,14.53,33.46891739629715,20.28,55.34152369140439,4.0576886980000175,9.158730158730158,59.36526027349508,2.714808940887451,23.77603052749832,13.5069426592401,31.521739130434785,0
9.343531784065025,121.0,15.082644628099173,40.787148069381445,17.41322314049587,62.99396595713562,5.23953940807583,8.100917431192661,83.2364054303384,2.5886051654815674,47.92214580975199,130.54303648605696,3.5398230088495577,0
7.389847831024301,136.0,13.264705882352942,36.422398529963054,13.441176470588236,69.84865910963084,3.756612886177657,11.9009009009009,101.20391926671759,2.66567325592041,38.72864549464104,20.95026444336476,12.598425196850393,0
5.29088397940857,251.0,12.163346613545817,43.9908928567476,12.685258964143426,63.02631670494942,3.2547607210906864,10.247826086956522,215.903531156175,2.5860910415649414,52.502748213853366,179.9672305772155,2.9535864978902953,0
11.575854419451321,148.0,14.277027027027026,29.28757521437123,19.905405405405407,71.44483924939813,2.4826961482961574,3.4690265486725664,103.62165292088017,2.52605938911438,40.14517048614546,0.7071067811865476,19.28571428571429,0
12.080328943447947,97.0,15.082474226804123,31.427079761844084,36.7319587628866,55.22532342972297,2.934144530573489,5.276595744680851,84.18441687320241,2.7540194988250732,15.981114711012445,95.82558744863788,46.590909090909086,0
7.577041602465331,139.0,13.223021582733812,37.742512440931215,13.050359712230216,70.41125972821722,3.61069236574381,5.546153846153846,97.22882729367115,2.5912370681762695,58.4358120674267,3.534090536243709,1.5151515151515151,0
9.767222776901027,222.0,19.94144144144144,39.543324100849006,15.36936936936937,75.5321110471457,3.448717627992963,5.580645161290323,116.52427774434808,2.407074451446533,64.262337237342,95.72802184661849,11.428571428571429,0
